EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,tokens,tokens_fdist,normalized
gue dan pacar halal gue lagi merayakan ulangtahun pernikahan senang banget bisa melewati berbagai momen manis bersama,menu jumat berkah besok apa yaa??,nilai kuliah gue semester ini bagus-bagus banget!! akhirnya gue udah bisa disiplin sama diri sendiri,ada studinya ga si orang yang kena macet tiap hari cenderung untuk lebih depresi? soalnya gue depresi banget kena macet mulu,baru coba snorkling dan ternyata asyik banget!! rekomended buat kalian yang suka liat-liat keindahan bawah laut,"['gue', 'dan', 'pacar', 'halal', 'gue', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']","['gue', 'pacar', 'halal', 'gue', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'melewati', 'momen', 'manis']","['saya', 'dan', 'pacar', 'halal', 'saya', 'lagi', 'merayakan', 'ulangtahun', 'pernikahan', 'senang', 'banget', 'bisa', 'melewati', 'berbagai', 'momen', 'manis', 'bersama']"
hari ini gue berasa gaul abis dah hang out di cafe keren belanja hobi favorit dan cerita curhat sama temanteman bikin hidup seru bangeettt,"sendal gue ilang lagi broo pas sholat jumat. tapi kenapa ilang sebelah dah, elu gimana bang nanti makenya wkwkkw",ternyata produktif itu lebih asik kalau kita tau apa yang kita mau.,"duh bisa gak sih gue stop dengan semua rasa panik, gak enak banget gelisah sendiri","menurutku merayakan adalah hak,tidak menyukai perayaan juga hak. setiap hak akan akan selalu dibatasi hak-hak lainnya.","['hari', 'ini', 'gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']","['gue', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'cerita', 'curhat', 'temanteman', 'hidup', 'seru', 'bangeettt']","['hari', 'ini', 'saya', 'berasa', 'gaul', 'abis', 'dah', 'hang', 'out', 'di', 'cafe', 'keren', 'belanja', 'hobi', 'favorit', 'dan', 'cerita', 'curhat', 'sama', 'temanteman', 'bikin', 'hidup', 'seru', 'bangeettt']"
ga sabar bgt gue buat dateng barbequean di malam tahun baru nanti udah gue nantiin dari lama dan juga bisa kumpul bareng sama temen gue,"ini basic manner, kalau dikasih tau sesuatu yang sifatnya privacy, berarti udah dipercaya, dan harus jaga kepercayaan itu.","lagi magang di perusahaan, tugas numpuk tapi selalu gue pelajarin dan selesein dengan baik. semoga nanti bisa dapat ilmu yang maksimal","kadang gue ngerasa depresi berat, semua hal kayaknya susah banget buat dijalanin. gue pengin cerita tapi ngga ada yang bisa dengerin gue dgn baik","kalian yg jadi seniman sadar ga si?, kalo jadi seniman itu bukan hanya soal bakat, tapi juga keberanian buat terbuka pada hal-hal baru. kreativitas itu bisa muncul dari ekspresi dan imajinasi kita yang ngga ada batasnya","['ga', 'sabar', 'bgt', 'gue', 'buat', 'dateng', 'barbequean', 'di', 'malam', 'tahun', 'baru', 'nanti', 'udah', 'gue', 'nantiin', 'dari', 'lama', 'dan', 'juga', 'bisa', 'kumpul', 'bareng', 'sama', 'temen', 'gue']","['sabar', 'bgt', 'gue', 'dateng', 'barbequean', 'malam', 'udah', 'gue', 'nantiin', 'kumpul', 'bareng', 'temen', 'gue']","['tidak', 'sabar', 'banget', 'saya', 'buat', 'dateng', 'barbequean', 'di', 'malam', 'tahun', 'baru', 'nanti', 'sudah', 'saya', 'nantiin', 'dari', 'lama', 'dan', 'juga', 'bisa', 'kumpul', 'bareng', 'sama', 'temen', 'saya']"
pulang malem pake transportasi umum itu seruu tauu kalian bisa melihat lamput di gedung gedung tinggi sambil makan roti boy wkwkwkwk,spesial shoutout buat semua relawan yang tanpa pamrih bantu temen-temen lain. kalian top!,dapet indeks a di matkul yang memang aku suka! gak sia-sia kerja kerasku,"pelan tapi pasti, pasti gagal tapi yaudahlah mau gimana lagi udah biasa",intelektualitas itu gak cuma soal buku tebal dan istilah sulit. it's about the joy of learning and exploring new ideas! jadi jangan remehin orang yang berkekurangan!,"['pulang', 'malem', 'pake', 'transportasi', 'umum', 'itu', 'seruu', 'tauu', 'kalian', 'bisa', 'melihat', 'lamput', 'di', 'gedung', 'gedung', 'tinggi', 'sambil', 'makan', 'roti', 'boy', 'wkwkwkwk']","['pulang', 'malem', 'pake', 'transportasi', 'seruu', 'tauu', 'lamput', 'gedung', 'gedung', 'makan', 'roti', 'boy', 'wkwkwkwk']","['pulang', 'malem', 'pakai', 'transportasi', 'umum', 'itu', 'seruu', 'tauu', 'kalian', 'bisa', 'melihat', 'lamput', 'di', 'gedung', 'gedung', 'tinggi', 'sambil', 'makan', 'roti', 'boy', 'wkwkwkwk']"
pacar gue suka banget sama hobi gue yang agak unik hari ini kita samasama belajar dan mencoba hal baru,"guys, kita perlu banget bantuan buat posko bencana alam, nih. yuk, rame-rame bantu sesama, bikin dunia lebih damai!",seneng banget habis dipromosiin atasan karena kinerja gue yang bagus selama 1 tahun kerja di sini,"semakin ke sini aku semakin bingung, takut salah ngambil langkah lagi",saya suka menjelajahi gagasan-gagasan baru dan mencari cara untuk memperkaya pemahaman saya tentang dunia,"['pacar', 'gue', 'suka', 'banget', 'sama', 'hobi', 'gue', 'yang', 'agak', 'unik', 'hari', 'ini', 'kita', 'samasama', 'belajar', 'dan', 'mencoba', 'hal', 'baru']","['pacar', 'gue', 'suka', 'banget', 'hobi', 'gue', 'unik', 'samasama', 'belajar', 'mencoba']","['pacar', 'saya', 'suka', 'banget', 'sama', 'hobi', 'saya', 'yang', 'agak', 'unik', 'hari', 'ini', 'kita', 'samasama', 'belajar', 'dan', 'mencoba', 'hal', 'baru']"
pacar gue rajin curhat tentang hariharinya dan gue suka banget dengerin ceritanya cinta itu juga tentang saling mengerti kan,sayang bangett sama miloo... kucing cantikk akuuu!,"udah apply kantor a, dan b buat magang nanti. kira-kira apply di mana lagi ya buat antisipasi","fisik, mental, dan hidup gue berantakan. gak ada yang teratur, berserakan dan kacau semuanya","nyudutin siapapun capresnya mah sah aja, asal punya argumentasi. kalo nyudutin pendukungnnya baru salah, karena gaakan produktif.","['pacar', 'gue', 'rajin', 'curhat', 'tentang', 'hariharinya', 'dan', 'gue', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'itu', 'juga', 'tentang', 'saling', 'mengerti', 'kan']","['pacar', 'gue', 'rajin', 'curhat', 'hariharinya', 'gue', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'mengerti']","['pacar', 'saya', 'rajin', 'curhat', 'tentang', 'hariharinya', 'dan', 'saya', 'suka', 'banget', 'dengerin', 'ceritanya', 'cinta', 'itu', 'juga', 'tentang', 'saling', 'mengerti', 'kan']"
siapa yang mau nemenin aku kajian hanan attaki di bandung tgl juni,"sadar kah kalian, setiap kebaikan kecil yang kita lakuin tuh bisa jadi perubahan besar buat orang lain","gue jadi pekerja keras itu bangga banget. ya walopun capek, tapi hasil kerja keras pasti bikin semua usaha terbayar.","tiap malam pasti gabisa tidur, karena gue khawatir banget kalau besok bakal ada masalah lagi yang bikin aku makin disakiti sama keadaan ","alam itu guru yang paling baik. gue selalu terpesona sama kemampuan hewan dalam beradaptasi dan bertahan hidup, sehingga menjadikan alam sebagai salah satu sumber kehidupan yang terbaik","['siapa', 'yang', 'mau', 'nemenin', 'aku', 'kajian', 'hanan', 'attaki', 'di', 'bandung', 'tgl', 'juni']","['nemenin', 'kajian', 'hanan', 'attaki', 'bandung', 'tgl', 'juni']","['siapa', 'yang', 'mau', 'nemenin', 'saya', 'kajian', 'hanan', 'attaki', 'di', 'bandung', 'tanggal', 'juni']"
gue baru nerima kabar dari temen gue kalo minggu depan dia mau maen ke kosan gue seneng bgt deh dah lama ga ketemu juga,"udah lah gausah ribut-ribut, baiknya kita damai aja","menurutku pendidikan itu investasi jangka panjang. disiplin belajar setiap hari, nambah ilmu dan skill baru, bikin masa depan lebih cerah.","sulit banget rasanya gue buat bangkit dari keterpurukan, rasanya kaya semua orang di sekitar gue ninggalin gue sendiri.",kalian pernah berpikira gimana rasanya hidup di masa depan? imajinasi kita bisa jadi ladang jendala untuk kita ke sana,"['gue', 'baru', 'nerima', 'kabar', 'dari', 'temen', 'gue', 'kalo', 'minggu', 'depan', 'dia', 'mau', 'maen', 'ke', 'kosan', 'gue', 'seneng', 'bgt', 'deh', 'dah', 'lama', 'ga', 'ketemu', 'juga']","['gue', 'nerima', 'kabar', 'temen', 'gue', 'minggu', 'maen', 'kosan', 'gue', 'seneng', 'bgt', 'deh', 'dah', 'ketemu']","['saya', 'baru', 'nerima', 'kabar', 'dari', 'temen', 'saya', 'kalau', 'minggu', 'depan', 'dia', 'mau', 'maen', 'ke', 'kosan', 'saya', 'seneng', 'banget', 'deh', 'dah', 'lama', 'tidak', 'ketemu', 'juga']"
terkejoed akuu dengan harga sushi di genki mahal bet,"gue lebih suka damai daripada konflik. kita bisa diskusi tanpa harus bikin emosi tinggi, kan?","mau  ganti tata letak kamar ini deh, biar lebih rapih dan teratur","rasanya hampa, semua hal di hidupku udah gak ada artinya lagi",yogyakarta harus ada di list liburan buat kalian yang mau belajar tentang budaya jawa tengah,"['terkejoed', 'akuu', 'dengan', 'harga', 'sushi', 'di', 'genki', 'mahal', 'bet']","['terkejoed', 'akuu', 'harga', 'sushi', 'genki', 'mahal', 'bet']","['terkejoed', 'akuu', 'dengan', 'harga', 'sushi', 'di', 'genki', 'mahal', 'bet']"
ada yang mau ke alunalun kota sore ini,"udah lah, gausah kalian gausah banyak berantem di sosial media gaes, mending kalian baikan aja deh biar adem",jadi enterpreneur ternyata ga cuma ngatur ini itu. tapi mesti punya visi misi yang jelas juga. semoga usaha yang gue lagi kembangin bisa sukses dan bermanfaat buat banyak orang,"udah dalam fase hopeless, kosan berantakan, hidup berantakan udah ga peduli lagi sama keaadan gue sekarang",aku paling suka kalo baca-baca terkait buku filosofis. hal itu bikin gue mikir lebih dalam tentang kehidupan di dunia,"['ada', 'yang', 'mau', 'ke', 'alunalun', 'kota', 'sore', 'ini']","['alunalun', 'kota', 'sore']","['ada', 'yang', 'mau', 'ke', 'alunalun', 'kota', 'sore', 'ini']"
gue lagi di caf nikmatin kopi favorit sambil cerita sama tementemen ngebahas temen gue yang lagi punya doi baru sama yang terlibat hts seru bangeet akhirnya bisa ngumpul lagi,"cara dia jelasin sesuatu tuh mudah dimengerti dan sesuai data, suka deh :)","sesuai dugaan kalau aku lulus tahap 2 asprak, tinggal tahap 3 yaitu interview. semangatt!!",aku gak berharap banyak. kayaknya pesimis memang sifat defaultku deh.,aku mau coba hobi baru. ada yang punya rekomendasi?,"['gue', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'gue', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'bangeet', 'akhirnya', 'bisa', 'ngumpul', 'lagi']","['gue', 'caf', 'nikmatin', 'kopi', 'favorit', 'cerita', 'tementemen', 'ngebahas', 'temen', 'gue', 'doi', 'terlibat', 'hts', 'seru', 'bangeet', 'ngumpul']","['saya', 'lagi', 'di', 'caf', 'nikmatin', 'kopi', 'favorit', 'sambil', 'cerita', 'sama', 'tementemen', 'ngebahas', 'temen', 'saya', 'yang', 'lagi', 'punya', 'doi', 'baru', 'sama', 'yang', 'terlibat', 'hts', 'seru', 'banget', 'akhirnya', 'bisa', 'ngumpul', 'lagi']"
semangat banget habis diskusi sama tementemen bahas liburan bareng,"gue baru aja donor darah di pmi, seneng banget rasanya bisa bermanfaat jadi orang hehe","gue kuliah sambil kerja, sibuk banget si tapi gue tetep semangat. semoga nilai dan kerjaan gue bisa maksimal","kenapa gue selalu ngerasa sendirian terus ya, padahal banyak orang disekitaran gue. tapi tetep aja hati gue selalu kosong","banyak orang yang mensalah artikan anarki sebagai kekacauan, padahal anarki itu bisa jadi bentuk tertinggi dari kebebasan dan penolakan terhadap penindasan","['semangat', 'banget', 'habis', 'diskusi', 'sama', 'tementemen', 'bahas', 'liburan', 'bareng']","['semangat', 'banget', 'habis', 'diskusi', 'tementemen', 'bahas', 'liburan', 'bareng']","['semangat', 'banget', 'habis', 'diskusi', 'sama', 'tementemen', 'bahas', 'liburan', 'bareng']"
malam ini bakal ada rapat himpunan seneng bgt akhirnya ketemu tementemen himpunan lagi walaupun rapatnya bakal lama huhu,"percaya ga si, kebaikan hati tuh bisa nular lohh, soo, daripada kita nyebarin berita hoax, mending kita nyebarin kebaikan","baru kali ini gue ngrasaain kerja di start-up ternyata dinamis banget, tiap hari ada aja yang baru. mesti belajar hal baru juga","lama kelamaan gue kecanduan buat terus ngehindar dari kenyataan, tapi yang terjadi kenyaataan tetep aja ngejar dan bikin gue stress",seni itu menurut gue medium terbaik buat mengekspresikan apa yang ada di hati sama pikiran kita. setiap karya pasti punya cerita yg unik,"['malam', 'ini', 'bakal', 'ada', 'rapat', 'himpunan', 'seneng', 'bgt', 'akhirnya', 'ketemu', 'tementemen', 'himpunan', 'lagi', 'walaupun', 'rapatnya', 'bakal', 'lama', 'huhu']","['malam', 'rapat', 'himpunan', 'seneng', 'bgt', 'ketemu', 'tementemen', 'himpunan', 'rapatnya', 'huhu']","['malam', 'ini', 'bakal', 'ada', 'rapat', 'himpunan', 'seneng', 'banget', 'akhirnya', 'ketemu', 'tementemen', 'himpunan', 'lagi', 'walaupun', 'rapatnya', 'bakal', 'lama', 'huhu']"
for the first time main sepatu rodaa seru sih tapi sempet ga bisa jalan karenaa susahh yaa broo sempet jatuh juga kaki aku jadi biru wkwkwk,"sedih banget liat berita korban perang zionist, yuk sama-sama kita bantu mereka.",hari ini aku mau menyelesaikan project biar besok pas bootcamp udah gak ngerasa ganjel karena udah selesai!,gimana caraku untuk survive dari semester 6 yang berat ini? mau nyerah sebelum mulai,"jenius itu bisa ditemukan di bidang apa pun, termasuk di dunia teknologi. enggak harus jadi dokter buat bisa jenius!","['for', 'the', 'first', 'time', 'main', 'sepatu', 'rodaa', 'seru', 'sih', 'tapi', 'sempet', 'ga', 'bisa', 'jalan', 'karenaa', 'susahh', 'yaa', 'broo', 'sempet', 'jatuh', 'juga', 'kaki', 'aku', 'jadi', 'biru', 'wkwkwk']","['for', 'the', 'first', 'time', 'main', 'sepatu', 'rodaa', 'seru', 'sempet', 'jalan', 'karenaa', 'susahh', 'yaa', 'broo', 'sempet', 'jatuh', 'kaki', 'biru', 'wkwkwk']","['for', 'the', 'first', 'time', 'main', 'sepatu', 'rodaa', 'seru', 'sih', 'tetapi', 'sempet', 'tidak', 'bisa', 'jalan', 'karenaa', 'susahh', 'yaa', 'broo', 'sempet', 'jatuh', 'juga', 'kaki', 'saya', 'jadi', 'biru', 'wkwkwk']"
gaiss apa ini yang dinamain cinta ko gue abis ketemu sama temen lama gue gue jadi baper gini hihi,"ngapain sih ribut-ribut, lebih baik saling dukung ajaa","disiplin itu kunci buat sukses gaes, dgn disiplin gue kira bisa ngejar target tanpa harus terburu-buru dia akhir.","hidup gue sekarang udah ga jelas, udah gaada lagi arah dan tujuan hidup yang jelas. udah hopeless pasrah sama keadaan ","gue percaya ajaa, kalau setiap orang pasti bisa jadi ilmuwan di bidangnya masing-masing. asal dia punya rasa keingin tahuan yang besar dan juga optimistis yang tinggi","['gaiss', 'apa', 'ini', 'yang', 'dinamain', 'cinta', 'ko', 'gue', 'abis', 'ketemu', 'sama', 'temen', 'lama', 'gue', 'gue', 'jadi', 'baper', 'gini', 'hihi']","['gaiss', 'dinamain', 'cinta', 'ko', 'gue', 'abis', 'ketemu', 'temen', 'gue', 'gue', 'baper', 'gini', 'hihi']","['gaiss', 'apa', 'ini', 'yang', 'dinamain', 'cinta', 'ko', 'saya', 'abis', 'ketemu', 'sama', 'temen', 'lama', 'saya', 'saya', 'jadi', 'baper', 'gini', 'hihi']"
gue dan temanteman merencanakan traveling ke bali gak sabar deh nikmatin vibes sunset bali,"jujur, ya, ngeliat pengemis itu selalu bikin mikir. kita bisa bantu dengan cara kecil, seperti memberikan makanan atau minuman.",kemarin abis daftar mbkm dan ambil posisi sebagai content creator. tapi gue juga udah daftar course yang flexible sih sebagai antisipasi,"saya mau pesimis dulu, karena pesimis adalah kunci",pemilu itu soal kebebasan memilih dan menghormati pilihan orang. bukan soal dikasih tau temen dan ulama.,"['gue', 'dan', 'temanteman', 'merencanakan', 'traveling', 'ke', 'bali', 'gak', 'sabar', 'deh', 'nikmatin', 'vibes', 'sunset', 'bali']","['gue', 'temanteman', 'merencanakan', 'traveling', 'bali', 'sabar', 'deh', 'nikmatin', 'vibes', 'sunset', 'bali']","['saya', 'dan', 'temanteman', 'merencanakan', 'traveling', 'ke', 'bali', 'tidak', 'sabar', 'deh', 'nikmatin', 'vibes', 'sunset', 'bali']"
weekend ku jalanjalan ke tempat wisata bareng keluarga,"aku abis dapet cobaan, tapi aku berusaha buat sabar dan ikhlas dengan cobaan yang ada","gue bulan depan mau ikutan lomba, semangat terus tiap hari buat persiapan, latihan biar hasilnya maksimal. pulang bawa pulang gelar juara","kenapa sih diri gue selalu di bully dari kecil sampe sekarang, gue gatau apa yang salah dan aneh sama diri gue. rasanya ngga pernag ada yang berubah, tetep aja gue disudutin terus",kadang kalian ngerasa bosen ngga? bisa jadi kebosananan juga pertanda bahwa kita juga butuh perubahan sama tantangan yg baru di dalam kehidupan,"['weekend', 'ku', 'jalanjalan', 'ke', 'tempat', 'wisata', 'bareng', 'keluarga']","['weekend', 'ku', 'jalanjalan', 'wisata', 'bareng', 'keluarga']","['weekend', 'ku', 'jalanjalan', 'ke', 'tempat', 'wisata', 'bareng', 'keluarga']"
gue jadi lebih semangat kalo ketemu banyak temen misalnya di sekolah atau di tempat les,"gue selalu seneng kalo diajakin kegiatan kegiatan sosial kayak baksos, atau kunjungan kunjungan ke panti, apapun yang bisa gue ikutin buat bisa bantu orang.","kata bokap gue, gue harus sering sering bikin rencana, misalnya rencana sehari-hari, jadi nantinya gue bakal bisa terbiasa buat ngerencanain hidup dan masa depan gue.","semua temen gue bilang gue orang nya moody -an, kadang gampang sedih tiba tiba, kadang bisa juga tiba tiba ceria.","gue suka banget nyoba cabang cabang olahraga jenis baru yang belum pernah gue mainin, masih ada lagi ga ya yang belum coba?masih pengen nyoba olahraga baru nih gue.","['gue', 'jadi', 'lebih', 'semangat', 'kalo', 'ketemu', 'banyak', 'temen', 'misalnya', 'di', 'sekolah', 'atau', 'di', 'tempat', 'les']","['gue', 'semangat', 'ketemu', 'temen', 'sekolah', 'les']","['saya', 'jadi', 'lebih', 'semangat', 'kalau', 'ketemu', 'banyak', 'temen', 'misalnya', 'di', 'sekolah', 'atau', 'di', 'tempat', 'les']"
mau chat siapa lagi yaaa yang bisa gue ajak nobar ke bioskop besok udah sepuluh orang nihtapi masih bisa nambah lagi keknya yang ikutan,mendambakan kehidupan dan dunia yang dipenuhi dengan orang orang yang penuh kasih ke sesama..,"jangan segala-gala ditoleransi deh, harus sesuai aturan dan komitmen yang udah disepakatin, apalagi ini kan masalah pekerjaan!",gue orangnya gampang panikan misalnya kalo gue tersesat di tempat asing sendirian aja dan gak ada siapapun yang gue kenal.,dunia ini butuh banget orang orang jenius yang otaknya penuh dengan ide ide yang kreatif dan juga inovatif.,"['mau', 'chat', 'siapa', 'lagi', 'yaaa', 'yang', 'bisa', 'gue', 'ajak', 'nobar', 'ke', 'bioskop', 'besok', 'udah', 'sepuluh', 'orang', 'nihtapi', 'masih', 'bisa', 'nambah', 'lagi', 'keknya', 'yang', 'ikutan']","['chat', 'yaaa', 'gue', 'ajak', 'nobar', 'bioskop', 'besok', 'udah', 'sepuluh', 'orang', 'nihtapi', 'nambah', 'keknya', 'ikutan']","['mau', 'chat', 'siapa', 'lagi', 'yaaa', 'yang', 'bisa', 'saya', 'ajak', 'nobar', 'ke', 'bioskop', 'besok', 'sudah', 'sepuluh', 'orang', 'nihtapi', 'masih', 'bisa', 'tambah', 'lagi', 'keknya', 'yang', 'ikutan']"
,"donor darah di pmi tadi pagi, rasanya seneng banget bisa bantu orang lain yang butuh. yuk kita rutin donor darah biar stok darah selalu cukup",,,,[],[],[]
gaes cari hiburan yuu bosen di rumah nihh,"gue baru aja jadi relawan bencana alam, jujur gue seneng banget bisa bantu orang","kejujuran itu bagian dari disiplin. dengan selalu jujur dan terbuka, kita bisa bangun kepercayaan dan hubungan yang kuat dengan orang lain. integrity is key","kadang gue sering berpikir buat bunuh diri aja, biar semua rasa sakit yang gue alamin selesai, tapi gue jg tau itu bukan tindakan yang bener","menurut gue, debat itu bukan soal siapa yang menang, tapi soal bagaimana kita bisa saling belajar dan memahami","['gaes', 'cari', 'hiburan', 'yuu', 'bosen', 'di', 'rumah', 'nihh']","['gaes', 'cari', 'hiburan', 'yuu', 'bosen', 'rumah', 'nihh']","['gaes', 'cari', 'hiburan', 'yuu', 'bosen', 'di', 'rumah', 'nihh']"
